,"Atlanta, GA","Marietta, GA","Kennesaw, GA","Sandy Springs, GA","Roswell, GA","Decatur, GA","Duluth, GA","Alpharetta, GA","Suwanee, GA","Smyrna, GA","Augusta, GA","Gainesville, GA","Dalton, GA","Brookhaven, GA","Lawrenceville, GA","Douglasville, GA","Cartersville, GA","Milton, GA","Hinesville, GA","Statesboro, GA"
"Marietta, GA",1751.0,,1035.0,1536.0,1639.0,2532.0,2565.0,2165.0,2917.0,773.0,9401.0,3922.0,4262.0,1858.0,3033.0,2501.0,1943.0,2178.0,15071.0,12733.0
"Kennesaw, GA",2076.0,1090.0,,1861.0,2115.0,2857.0,2890.0,2490.0,3242.0,1630.0,9726.0,4247.0,3947.0,2183.0,3358.0,2637.0,1628.0,2298.0,15396.0,13058.0
"Sandy Springs, GA",1461.0,1489.0,1887.0,,1082.0,1753.0,1786.0,1185.0,2137.0,1376.0,8759.0,3143.0,5098.0,991.0,2254.0,2470.0,2779.0,1534.0,14781.0,12443.0
"Roswell, GA",1854.0,1674.0,2116.0,1049.0,,2157.0,1979.0,1033.0,2354.0,1854.0,9163.0,3559.0,5341.0,1425.0,2658.0,2948.0,3022.0,818.0,15174.0,12835.0
"Decatur, GA",1252.0,2425.0,2823.0,1688.0,2165.0,,2108.0,2259.0,2281.0,2294.0,8212.0,3286.0,6034.0,1505.0,2397.0,2515.0,3715.0,2608.0,14280.0,11942.0
"Duluth, GA",2237.0,2526.0,2924.0,1797.0,2022.0,2130.0,,1527.0,673.0,2413.0,9135.0,2184.0,6135.0,1729.0,1428.0,3507.0,3815.0,1879.0,15193.0,12855.0
"Alpharetta, GA",1998.0,2112.0,2510.0,1273.0,1061.0,2302.0,1499.0,,1864.0,1999.0,9308.0,3125.0,5721.0,1570.0,2831.0,3093.0,3402.0,532.0,15318.0,12980.0
"Suwanee, GA",2428.0,2851.0,3249.0,2122.0,2435.0,2320.0,658.0,1874.0,,2738.0,9326.0,1871.0,6460.0,2085.0,1396.0,3833.0,4141.0,2292.0,15383.0,13045.0
"Smyrna, GA",1461.0,817.0,1608.0,1213.0,1748.0,2209.0,2242.0,1842.0,2593.0,,9004.0,3599.0,4819.0,1534.0,2710.0,2026.0,2500.0,2191.0,14696.0,12358.0
"Augusta, GA",7896.0,9201.0,9599.0,8645.0,9122.0,8152.0,9065.0,9216.0,9238.0,8938.0,,9652.0,12810.0,8607.0,8544.0,9155.0,10490.0,9565.0,9578.0,5348.0
"Gainesville, GA",3566.0,3989.0,4387.0,3260.0,3441.0,3458.0,2397.0,2986.0,2070.0,3876.0,9548.0,,7270.0,3223.0,2707.0,4971.0,5279.0,3338.0,16521.0,14161.0
"Dalton, GA",5228.0,4231.0,3952.0,5013.0,5213.0,6009.0,6042.0,5642.0,6393.0,4781.0,12878.0,7252.0,,5334.0,6510.0,5831.0,3253.0,5406.0,18548.0,16210.0
"Brookhaven, GA",1272.0,1699.0,2097.0,950.0,1434.0,1460.0,1716.0,1528.0,2084.0,1586.0,8726.0,3089.0,5308.0,,2200.0,2678.0,2989.0,1877.0,14592.0,12254.0
"Lawrenceville, GA",2454.0,2877.0,3275.0,2149.0,2626.0,2346.0,1341.0,2816.0,1399.0,2764.0,8490.0,2519.0,6486.0,2112.0,,3859.0,4167.0,3168.0,15409.0,12919.0
"Douglasville, GA",1684.0,2376.0,2586.0,2355.0,2890.0,2543.0,3384.0,2984.0,3724.0,1955.0,9227.0,4729.0,5864.0,2568.0,3840.0,,3244.0,3333.0,14919.0,12581.0
"Cartersville, GA",2924.0,1927.0,1699.0,2709.0,2909.0,3705.0,3738.0,3338.0,4090.0,2478.0,10574.0,5095.0,3192.0,3031.0,4206.0,3307.0,,3234.0,16244.0,13906.0
"Milton, GA",2384.0,2116.0,2311.0,1658.0,798.0,2688.0,1927.0,639.0,2291.0,2385.0,9694.0,3537.0,5457.0,1956.0,3259.0,3479.0,3324.0,,15704.0,13366.0
"Hinesville, GA",13610.0,14891.0,15289.0,14662.0,15134.0,14232.0,15183.0,15228.0,15355.0,14651.0,9568.0,16360.0,18500.0,14514.0,15471.0,14868.0,16181.0,15577.0,,4492.0
"Statesboro, GA",11295.0,12576.0,12974.0,12347.0,12818.0,11917.0,12868.0,12912.0,13040.0,12336.0,5310.0,14094.0,16185.0,12199.0,12978.0,12553.0,13866.0,13261.0,4447.0,
"Atlanta, GA",,1656.0,2054.0,1428.0,1899.0,1234.0,2263.0,1993.0,2436.0,1525.0,7918.0,3441.0,5265.0,1280.0,2552.0,1723.0,2946.0,2342.0,13650.0,11312.0
